take,Facebook,Google,Other,referal,website
0,0,1,0,0,0,0
1,0,0,0,0,1,0
2,0,0,0,0,0,0
3,1,0,1,0,0,0
4,0,0,0,0,0,1
5,1,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,1,0,0,0
8,0,0,1,0,0,0
9,0,0,0,0,1,0
10,0,0,0,0,0,1
11,1,0,1,0,0,0
12,0,0,0,0,0,1
13,0,0,0,0,0,0
14,0,0,1,0,0,0
15,0,0,0,0,0,1
16,0,0,1,0,0,0
17,0,0,0,0,0,1
18,0,0,0,0,0,0
19,0,0,1,0,0,0
20,0,0,1,0,0,0
21,0,0,1,0,0,0
22,1,0,0,0,1,0
23,0,1,0,0,0,0
24,0,0,1,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,1,0,0,0,0
29,1,0,0,0,0,1
30,1,0,0,0,0,0
31,1,0,0,0,0,1
32,0,0,0,0,0,1
33,1,0,0,0,1,0
34,1,0,0,0,0,1
35,0,1,0,0,0,0
36,0,0,1,0,0,0
37,0,0,0,0,0,1
38,0,0,0,0,0,1
39,1,0,0,1,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,1,0,0
43,0,0,0,0,0,1
44,0,0,0,0,0,1
45,0,0,0,0,0,0
46,1,0,0,0,1,0
47,0,0,0,0,0,1
48,0,0,0,0,0,1
49,0,1,0,0,0,0
50,1,0,0,1,0,0
51,1,0,0,0,0,0
52,0,0,0,0,0,1
53,0,1,0,0,0,0
54,0,0,0,0,0,0
55,1,0,0,1,0,0
56,0,0,0,1,0,0
57,1,0,1,0,0,0
58,0,0,0,0,0,0
59,1,0,0,0,0,0
60,1,0,0,0,0,0
61,1,0,0,0,0,1
62,0,0,0,0,0,0
63,0,0,0,0,1,0
64,0,0,0,0,1,0
65,1,0,0,1,0,0
66,0,0,0,1,0,0
67,1,0,0,0,1,0
68,1,1,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,1
72,1,0,0,0,1,0
73,1,0,0,0,0,1
74,0,0,1,0,0,0
75,1,0,0,0,0,0
